Didok number;parkrail_number;parkrail_price_day;parkrail_price_month;parkrail_price_year;parkrail_binding_time1;parkrail_binding_time2;parkrail_binding_time3;parkrail_comment;railtaxitext;railtaxiinfo;rental_bike_designation;rental_bike_number;rental_bike_comment;bike_parking_status_d;bike_parking_comment_d;bike_parking_lockable;bike_parking_lockable_text;carsharing location_designation;parkrail_app;parkrail_Webshop;parkrail_local;parkrail_Automat;OPUIC;Stop name;Station abbreviation;lod;Geopos;transport company;Weather;Postal code
6045;83.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;1;8506045;Hettlingen;HET;http://lod.opentransportdata.swiss/didok/8506045;47.5454414464659, 8.694834153058261;11;https://meteo.sbb.ch/?didok=8506045;8442
6046;51.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;1;1;0;1;8506046;Henggart;HGT;http://lod.opentransportdata.swiss/didok/8506046;47.5642572437169, 8.68507523532507;11;https://meteo.sbb.ch/?didok=8506046;8444
6047;70.0;7.0;70.0;700.0;06.00 - 19.00;;;Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Tagesparkingtickets können auch am Billettautomaten gekauft werden.;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;;Andelfingen Bahnhof;1;1;0;1;8506047;Andelfingen;AN;http://lod.opentransportdata.swiss/didok/8506047;47.59376618474319, 8.67800161121179;11;https://meteo.sbb.ch/?didok=8506047;8450
6048;117.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Marthalen Bahnhof;1;1;0;1;8506048;Marthalen;MTL;http://lod.opentransportdata.swiss/didok/8506048;47.63137974671419, 8.656062850654562;11;https://meteo.sbb.ch/?didok=8506048;8460
6049;50.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;0;1;8506049;Dachsen;DA;http://lod.opentransportdata.swiss/didok/8506049;47.66709049852088, 8.613822740634536;11;https://meteo.sbb.ch/?didok=8506049;8447
6100;;;;;;;;"Tagesparking in Frauenfeld: «oberes Mätteli» und «unteres Mätteli». <br>
P+Rail Alternativen in der Region: Islikon, Rickenbach-Attikon und Müllheim-Wigoltingen.";;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;1;http://www.velostation.ch/fr/velostations/frauenfeld/;Frauenfeld Bahnhof;0;0;0;0;8506100;Frauenfeld;FF;http://lod.opentransportdata.swiss/didok/8506100;47.55816340456972, 8.896559673414256;11;https://meteo.sbb.ch/?didok=8506100;8500
6101;16.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;1;1;8506101;Felben-Wellhausen;FEL;http://lod.opentransportdata.swiss/didok/8506101;47.577102127286835, 8.943174823204538;11;https://meteo.sbb.ch/?didok=8506101;8552
6102;5.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;1;8506102;Hüttlingen-Mettendorf;HM;http://lod.opentransportdata.swiss/didok/8506102;47.582343636106145, 8.974555007577901;11;https://meteo.sbb.ch/?didok=8506102;8553
6103;24.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;1;1;8506103;Müllheim-Wigoltingen;MUEL;http://lod.opentransportdata.swiss/didok/8506103;47.58816457357496, 9.015522055172228;11;https://meteo.sbb.ch/?didok=8506103;8554
6104;8.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;0;1;8506104;Märstetten;MAER;http://lod.opentransportdata.swiss/didok/8506104;47.582820556757, 9.062193477505673;11;https://meteo.sbb.ch/?didok=8506104;8560
6105;177.0;8.0;60.0;600.0;;;;Gehen Sie auf Nummer sicher und reservieren Sie Ihren Parkplatz am Bahnhof unter P+Rail: https://parkandrail.ch;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Weinfelden Bahnhof;1;1;1;1;8506105;Weinfelden;WF;http://lod.opentransportdata.swiss/didok/8506105;47.566224263227895, 9.106368221990051;11;https://meteo.sbb.ch/?didok=8506105;8570
6106;8.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Tagesparkingtickets können auch am Billettautomaten gekauft werden.;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;0;1;8506106;Bürglen TG;BGL;http://lod.opentransportdata.swiss/didok/8506106;47.54909842868837, 9.149876589208178;11;https://meteo.sbb.ch/?didok=8506106;8575
6107;8.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Die Parkuhr geht in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;0;1;8506107;Erlen;ERL;http://lod.opentransportdata.swiss/didok/8506107;47.55146027649119, 9.226201980586525;11;https://meteo.sbb.ch/?didok=8506107;8586
6108;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;;8506108;Oberaach;OA;http://lod.opentransportdata.swiss/didok/8506108;47.5533193737546, 9.271062266853168;11;https://meteo.sbb.ch/?didok=8506108;8587
6109;78.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;"Nordstrasse: 37 Parkplätze<br>
Ost: 27 Parkplätze<br>
Bahnhofplatz: 14 Parkplätze";;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Amriswil Bahnhof;1;1;1;1;8506109;Amriswil;AW;http://lod.opentransportdata.swiss/didok/8506109;47.5504497212167, 9.302227200925538;11;https://meteo.sbb.ch/?didok=8506109;8580
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Kindervelo;5.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Kindertrailer;4.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Kinderanhänger;5.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
